Jour;Durée (h);Début;Fin;Activité;Salles;Enseignants;Code;Type;Formations
Mardi 12/09/2023;01h30;11h10;12h40;Sensibilisation a la transition ecologique;G AMPHI E (180*) Bat. Allais;LEONARD Christian;4E3MISTE;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Mardi 12/09/2023;01h30;13h30;15h00;Algebre S3;G AMPHI F (180*) Bat. Allais;MILLER Luc;4E3MF303;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Mardi 12/09/2023;02h00;15h40;17h40;Analyse et Probas S3;G AMPHI F (180*) Bat. Allais;ROBERTO Cyril;4E3MF301;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths, TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE, TD10 - DL Gestion-Informatique
Mercredi 13/09/2023;01h30;11h10;12h40;Sensibilisation a la transition ecologique;G AMPHI E (180*) Bat. Allais;LEONARD Christian;4E3MISTE;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Jeudi 14/09/2023;01h30;09h00;10h30;Sensibilisation a la transition ecologique;G AMPHI E (180*) Bat. Allais;LEONARD Christian;4E3MISTE;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Vendredi 15/09/2023;02h00;10h40;12h40;Algorithmique et programmation S3;G AMPHI D (180*) Bat. Allais;DELBOT Francois;4E3MF304;CM;TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE, TD10 - DL Gestion-Informatique, TD11 - economie-Gestion CMI
Lundi 18/09/2023;02h00;08h30;10h30;G01 - Analyse et Probas S3;G 512 (45*-TB) Bat. Allais;ESSIFI Rim;4E3MF301;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD10 - DL Gestion-Informatique
Lundi 18/09/2023;01h30;10h40;12h10;G04 - Algorithmique et programmation S3;G 213A (35*-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MF304;TD;
Lundi 18/09/2023;01h30;10h40;12h10;G01 - Algebre S3;G 512 (45*-TB) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Lundi 18/09/2023;02h00;10h40;12h40;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Lundi 18/09/2023;01h30;12h20;13h50;G04 - Algorithmique et programmation S3;G 213A (35*-TB-V) Bat. Allais;PRADAT-PEYRE Jean-Francois;4E3MF304;TD;
Lundi 18/09/2023;01h30;13h30;15h00;Algebre S3;G 110 (80*-TB-V) Bat. Allais;MILLER Luc;4E3MF303;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths
Lundi 18/09/2023;02h00;15h40;17h40;Analyse et Probas S3;G AMPHI D (180*) Bat. Allais;ROBERTO Cyril;4E3MF301;CM;TD06 - MIASHS (Maths Appliquees) + Bessieres, TD07 - DL economie-Maths, TD08 - MIASHS parcours MIAGE, TD09 - MIASHS parcours MIAGE, TD10 - DL Gestion-Informatique
Mardi 19/09/2023;01h30;10h10;11h40;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
Mardi 19/09/2023;02h00;10h40;12h40;G04 - Analyse et Probas S3;G 412 (40*-TB-V) Bat. Allais;BARRET Florent;4E3MF301;TD;
Mardi 19/09/2023;01h30;11h10;12h40;G01 - Algebre S3;G 512 (45*-TB) Bat. Allais;MILLER Luc;4E3MF303;TD;TD06 - MIASHS (Maths Appliquees) + Bessieres
Mardi 19/09/2023;02h00;11h10;13h10;G02 - Analyse et Probas S3;G 205 (25*-TB-V) Bat. Allais;XIAO Yijun;4E3MF301;TD;TD07 - DL economie-Maths
Mardi 19/09/2023;01h30;11h50;13h20;G03 - Algorithmique et programmation S3;G 201 (30*-LINUX-TB-V) Bat. Allais;BOUQUET Valentin;4E3MF304;TD;TD08 - MIASHS parcours MIAGE
